idx,hops,method,duration
1,3,bfs-ref,116.304559
2,1,bfs-ref,4.377623
3,1,bfs,15.208216
4,3,bfs,605.602457
5,4,ford-fulkerson,4391.117
6,3,ford-fulkerson,758.917157
7,1,ford-fulkerson,14.329163
8,5,bfs-atom,1191.903
9,6,ford-fulkerson,48576.583
10,4,bfs,2111.9300000000003
11,2,bfs-atom,17.186622
12,4,bfs-atom,353.063727
13,4,bfs-ref,364.282853
14,2,bfs,162.712432
15,2,ford-fulkerson,164.09972
16,2,bfs-ref,18.817493
17,5,bfs,6385.089
18,1,bfs-atom,3.929068
19,3,bfs-atom,108.287797
20,5,bfs-ref,1258.9779999999998
21,6,bfs-atom,3143.563
22,6,bfs,16325.746
23,7,bfs,40505.893000000004
24,5,ford-fulkerson,13314.484999999999
25,6,bfs-ref,3230.134
